factor,source_type,signal_date,available_at,available_at_rule,execution_date,execution_price,exit_date,return_lag_sessions,rationale
dealer_net_buy,institutional_flow,2021-01-04,2021-01-04T18:00:00+08:00,same_session_after_close,2021-01-05,next_exchange_session_close,2021-01-06,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-05,2021-01-05T18:00:00+08:00,same_session_after_close,2021-01-06,next_exchange_session_close,2021-01-07,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-06,2021-01-06T18:00:00+08:00,same_session_after_close,2021-01-07,next_exchange_session_close,2021-01-08,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-07,2021-01-07T18:00:00+08:00,same_session_after_close,2021-01-08,next_exchange_session_close,2021-01-11,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-08,2021-01-08T18:00:00+08:00,same_session_after_close,2021-01-11,next_exchange_session_close,2021-01-12,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-11,2021-01-11T18:00:00+08:00,same_session_after_close,2021-01-12,next_exchange_session_close,2021-01-13,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-12,2021-01-12T18:00:00+08:00,same_session_after_close,2021-01-13,next_exchange_session_close,2021-01-14,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-13,2021-01-13T18:00:00+08:00,same_session_after_close,2021-01-14,next_exchange_session_close,2021-01-15,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-14,2021-01-14T18:00:00+08:00,same_session_after_close,2021-01-15,next_exchange_session_close,2021-01-18,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-15,2021-01-15T18:00:00+08:00,same_session_after_close,2021-01-18,next_exchange_session_close,2021-01-19,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-18,2021-01-18T18:00:00+08:00,same_session_after_close,2021-01-19,next_exchange_session_close,2021-01-20,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-19,2021-01-19T18:00:00+08:00,same_session_after_close,2021-01-20,next_exchange_session_close,2021-01-21,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-20,2021-01-20T18:00:00+08:00,same_session_after_close,2021-01-21,next_exchange_session_close,2021-01-22,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-21,2021-01-21T18:00:00+08:00,same_session_after_close,2021-01-22,next_exchange_session_close,2021-01-25,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-22,2021-01-22T18:00:00+08:00,same_session_after_close,2021-01-25,next_exchange_session_close,2021-01-26,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-25,2021-01-25T18:00:00+08:00,same_session_after_close,2021-01-26,next_exchange_session_close,2021-01-27,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-26,2021-01-26T18:00:00+08:00,same_session_after_close,2021-01-27,next_exchange_session_close,2021-01-28,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-27,2021-01-27T18:00:00+08:00,same_session_after_close,2021-01-28,next_exchange_session_close,2021-01-29,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-28,2021-01-28T18:00:00+08:00,same_session_after_close,2021-01-29,next_exchange_session_close,2021-02-01,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-01-29,2021-01-29T18:00:00+08:00,same_session_after_close,2021-02-01,next_exchange_session_close,2021-02-02,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-02-01,2021-02-01T18:00:00+08:00,same_session_after_close,2021-02-02,next_exchange_session_close,2021-02-03,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-02-02,2021-02-02T18:00:00+08:00,same_session_after_close,2021-02-03,next_exchange_session_close,2021-02-04,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-02-03,2021-02-03T18:00:00+08:00,same_session_after_close,2021-02-04,next_exchange_session_close,2021-02-05,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-02-04,2021-02-04T18:00:00+08:00,same_session_after_close,2021-02-05,next_exchange_session_close,2021-02-17,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-02-05,2021-02-05T18:00:00+08:00,same_session_after_close,2021-02-17,next_exchange_session_close,2021-02-18,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-02-17,2021-02-17T18:00:00+08:00,same_session_after_close,2021-02-18,next_exchange_session_close,2021-02-19,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-02-18,2021-02-18T18:00:00+08:00,same_session_after_close,2021-02-19,next_exchange_session_close,2021-02-22,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-02-19,2021-02-19T18:00:00+08:00,same_session_after_close,2021-02-22,next_exchange_session_close,2021-02-23,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-02-22,2021-02-22T18:00:00+08:00,same_session_after_close,2021-02-23,next_exchange_session_close,2021-02-24,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-02-23,2021-02-23T18:00:00+08:00,same_session_after_close,2021-02-24,next_exchange_session_close,2021-02-25,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-02-24,2021-02-24T18:00:00+08:00,same_session_after_close,2021-02-25,next_exchange_session_close,2021-02-26,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-02-25,2021-02-25T18:00:00+08:00,same_session_after_close,2021-02-26,next_exchange_session_close,2021-03-02,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-02-26,2021-02-26T18:00:00+08:00,same_session_after_close,2021-03-02,next_exchange_session_close,2021-03-03,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-03-02,2021-03-02T18:00:00+08:00,same_session_after_close,2021-03-03,next_exchange_session_close,2021-03-04,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-03-03,2021-03-03T18:00:00+08:00,same_session_after_close,2021-03-04,next_exchange_session_close,2021-03-05,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-03-04,2021-03-04T18:00:00+08:00,same_session_after_close,2021-03-05,next_exchange_session_close,2021-03-08,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-03-05,2021-03-05T18:00:00+08:00,same_session_after_close,2021-03-08,next_exchange_session_close,2021-03-09,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
dealer_net_buy,institutional_flow,2021-03-08,2021-03-08T18:00:00+08:00,same_session_after_close,2021-03-09,next_exchange_session_close,2021-03-10,1,Institutional flow is same-session information released after the market close; the first daily close price executable after availability is the next exchange session close.
